"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 27 02:21:24 GMT 2023","Wed Sep 27 02:21:25 GMT 2023","694","","Links assertion on the home page","","","","validate, link contains A/B Testing Editor",""
"passed","Wed Sep 27 02:21:31 GMT 2023","Wed Sep 27 02:21:32 GMT 2023","162","","Links assertion on the home page","","","","validate, link contains Multiple Windows Editor",""
"passed","Wed Sep 27 02:21:28 GMT 2023","Wed Sep 27 02:21:28 GMT 2023","200","","Links assertion on the home page","","","","validate, link contains Floating Menu Editor",""
"passed","Wed Sep 27 02:21:26 GMT 2023","Wed Sep 27 02:21:26 GMT 2023","194","","Links assertion on the home page","","","","validate, link contains Disappearing Elements Editor",""
"passed","Wed Sep 27 02:21:31 GMT 2023","Wed Sep 27 02:21:31 GMT 2023","187","","Links assertion on the home page","","","","validate, link contains Key Presses Editor",""
"passed","Wed Sep 27 02:21:29 GMT 2023","Wed Sep 27 02:21:29 GMT 2023","200","","Links assertion on the home page","","","","validate, link contains Geolocation Editor",""
"passed","Wed Sep 27 02:21:33 GMT 2023","Wed Sep 27 02:21:33 GMT 2023","167","","Links assertion on the home page","","","","validate, link contains Slow Resources Editor",""
"passed","Wed Sep 27 02:21:31 GMT 2023","Wed Sep 27 02:21:31 GMT 2023","192","","Links assertion on the home page","","","","validate, link contains JavaScript Alerts Editor",""
"passed","Wed Sep 27 02:21:27 GMT 2023","Wed Sep 27 02:21:27 GMT 2023","196","","Links assertion on the home page","","","","validate, link contains Dynamic Controls Editor",""
"passed","Wed Sep 27 02:21:33 GMT 2023","Wed Sep 27 02:21:33 GMT 2023","155","","Links assertion on the home page","","","","validate, link contains Typos Editor",""
"passed","Wed Sep 27 02:21:25 GMT 2023","Wed Sep 27 02:21:25 GMT 2023","164","","Links assertion on the home page","","","","validate, link contains Challenging DOM Editor",""
"passed","Wed Sep 27 02:21:26 GMT 2023","Wed Sep 27 02:21:26 GMT 2023","203","","Links assertion on the home page","","","","validate, link contains Digest Authentication Editor",""
