"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 03:00:58 GMT 2023","Thu Jul 13 03:00:58 GMT 2023","208","","Links assertion on the home page","","","","validate, link contains Challenging DOM Editor",""
"passed","Thu Jul 13 03:01:01 GMT 2023","Thu Jul 13 03:01:01 GMT 2023","231","","Links assertion on the home page","","","","validate, link contains File Upload Editor",""
"passed","Thu Jul 13 03:01:05 GMT 2023","Thu Jul 13 03:01:06 GMT 2023","290","","Links assertion on the home page","","","","validate, link contains Notification Messages Editor",""
"passed","Thu Jul 13 03:01:08 GMT 2023","Thu Jul 13 03:01:09 GMT 2023","263","","Links assertion on the home page","","","","validate, link contains WYSIWYG Editor Editor",""
"passed","Thu Jul 13 03:01:03 GMT 2023","Thu Jul 13 03:01:03 GMT 2023","264","","Links assertion on the home page","","","","validate, link contains Horizontal Slider Editor",""
"passed","Thu Jul 13 03:01:00 GMT 2023","Thu Jul 13 03:01:00 GMT 2023","217","","Links assertion on the home page","","","","validate, link contains Dynamic Content Editor",""
"passed","Thu Jul 13 03:01:08 GMT 2023","Thu Jul 13 03:01:08 GMT 2023","313","","Links assertion on the home page","","","","validate, link contains Status Codes Editor",""
"passed","Thu Jul 13 03:01:01 GMT 2023","Thu Jul 13 03:01:01 GMT 2023","210","","Links assertion on the home page","","","","validate, link contains Exit Intent Editor",""
"passed","Thu Jul 13 03:01:05 GMT 2023","Thu Jul 13 03:01:05 GMT 2023","238","","Links assertion on the home page","","","","validate, link contains Nested Frames Editor",""
"passed","Thu Jul 13 03:01:04 GMT 2023","Thu Jul 13 03:01:04 GMT 2023","197","","Links assertion on the home page","","","","validate, link contains JavaScript onload event error Editor",""
"passed","Thu Jul 13 03:00:59 GMT 2023","Thu Jul 13 03:01:00 GMT 2023","241","","Links assertion on the home page","","","","validate, link contains Dropdown Editor",""
"passed","Thu Jul 13 03:00:56 GMT 2023","Thu Jul 13 03:00:57 GMT 2023","835","","Links assertion on the home page","","","","validate, link contains A/B Testing Editor",""
"passed","Thu Jul 13 03:01:07 GMT 2023","Thu Jul 13 03:01:07 GMT 2023","295","","Links assertion on the home page","","","","validate, link contains Slow Resources Editor",""
"passed","Thu Jul 13 03:01:03 GMT 2023","Thu Jul 13 03:01:04 GMT 2023","198","","Links assertion on the home page","","","","validate, link contains Inputs Editor",""
