"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","183","validate, link contains Entry Ad Editor","","Fri Mar 28 03:02:06 GMT 2025","passed","Fri Mar 28 03:02:06 GMT 2025","","Links assertion on the home page","",""
"","177","validate, link contains Floating Menu Editor","","Fri Mar 28 03:02:07 GMT 2025","passed","Fri Mar 28 03:02:07 GMT 2025","","Links assertion on the home page","",""
"","171","validate, link contains Hovers Editor","","Fri Mar 28 03:02:08 GMT 2025","passed","Fri Mar 28 03:02:08 GMT 2025","","Links assertion on the home page","",""
"","175","validate, link contains File Download Editor","","Fri Mar 28 03:02:07 GMT 2025","passed","Fri Mar 28 03:02:07 GMT 2025","","Links assertion on the home page","",""
"","200","validate, link contains Shadow DOM Editor","","Fri Mar 28 03:02:10 GMT 2025","passed","Fri Mar 28 03:02:11 GMT 2025","","Links assertion on the home page","",""
"","248","fetch list of users","","Fri Mar 28 03:02:01 GMT 2025","passed","Fri Mar 28 03:02:01 GMT 2025","","API end point assertions","",""
"","163","validate, link contains Slow Resources Editor","","Fri Mar 28 03:02:11 GMT 2025","passed","Fri Mar 28 03:02:11 GMT 2025","","Links assertion on the home page","",""
"","178","validate, link contains Dropdown Editor","","Fri Mar 28 03:02:05 GMT 2025","passed","Fri Mar 28 03:02:06 GMT 2025","","Links assertion on the home page","",""
"","180","validate, link contains Dynamic Content Editor","","Fri Mar 28 03:02:06 GMT 2025","passed","Fri Mar 28 03:02:06 GMT 2025","","Links assertion on the home page","",""
"","167","validate, link contains Infinite Scroll Editor","","Fri Mar 28 03:02:08 GMT 2025","passed","Fri Mar 28 03:02:08 GMT 2025","","Links assertion on the home page","",""
"","169","validate, link contains Dynamic Controls Editor","","Fri Mar 28 03:02:06 GMT 2025","passed","Fri Mar 28 03:02:06 GMT 2025","","Links assertion on the home page","",""
"","160","validate, link contains Shifting Content Editor","","Fri Mar 28 03:02:11 GMT 2025","passed","Fri Mar 28 03:02:11 GMT 2025","","Links assertion on the home page","",""
"","193","validate, link contains Form Authentication Editor","","Fri Mar 28 03:02:07 GMT 2025","passed","Fri Mar 28 03:02:08 GMT 2025","","Links assertion on the home page","",""
"","160","validate, link contains JQuery UI Menus Editor","","Fri Mar 28 03:02:09 GMT 2025","passed","Fri Mar 28 03:02:09 GMT 2025","","Links assertion on the home page","",""
"","198","validate, link contains Broken Images Editor","","Fri Mar 28 03:02:04 GMT 2025","passed","Fri Mar 28 03:02:04 GMT 2025","","Links assertion on the home page","",""
"","154","validate, link contains Sortable Data Tables Editor","","Fri Mar 28 03:02:11 GMT 2025","passed","Fri Mar 28 03:02:11 GMT 2025","","Links assertion on the home page","",""
"","185","validate, link contains Challenging DOM Editor","","Fri Mar 28 03:02:04 GMT 2025","passed","Fri Mar 28 03:02:04 GMT 2025","","Links assertion on the home page","",""
"","195","validate, link contains Disappearing Elements Editor","","Fri Mar 28 03:02:05 GMT 2025","passed","Fri Mar 28 03:02:05 GMT 2025","","Links assertion on the home page","",""
"","178","validate, link contains Context Menu Editor","","Fri Mar 28 03:02:05 GMT 2025","passed","Fri Mar 28 03:02:05 GMT 2025","","Links assertion on the home page","",""
"","193","validate, link contains Inputs Editor","","Fri Mar 28 03:02:08 GMT 2025","passed","Fri Mar 28 03:02:09 GMT 2025","","Links assertion on the home page","",""
"","1019","validate, link contains A/B Testing Editor","","Fri Mar 28 03:02:03 GMT 2025","passed","Fri Mar 28 03:02:04 GMT 2025","","Links assertion on the home page","",""
"","190","validate, link contains Dynamic Loading Editor","","Fri Mar 28 03:02:06 GMT 2025","passed","Fri Mar 28 03:02:06 GMT 2025","","Links assertion on the home page","",""
"","160","validate, link contains Nested Frames Editor","","Fri Mar 28 03:02:10 GMT 2025","passed","Fri Mar 28 03:02:10 GMT 2025","","Links assertion on the home page","",""
"","181","validate, link contains Exit Intent Editor","","Fri Mar 28 03:02:06 GMT 2025","passed","Fri Mar 28 03:02:07 GMT 2025","","Links assertion on the home page","",""
"","185","validate, link contains Digest Authentication Editor","","Fri Mar 28 03:02:05 GMT 2025","passed","Fri Mar 28 03:02:05 GMT 2025","","Links assertion on the home page","",""
"","162","validate, link contains JavaScript onload event error Editor","","Fri Mar 28 03:02:09 GMT 2025","passed","Fri Mar 28 03:02:09 GMT 2025","","Links assertion on the home page","",""
"","186","validate, link contains Forgot Password Editor","","Fri Mar 28 03:02:07 GMT 2025","passed","Fri Mar 28 03:02:07 GMT 2025","","Links assertion on the home page","",""
"","164","validate, link contains Typos Editor","","Fri Mar 28 03:02:11 GMT 2025","passed","Fri Mar 28 03:02:11 GMT 2025","","Links assertion on the home page","",""
"","163","validate, link contains Status Codes Editor","","Fri Mar 28 03:02:11 GMT 2025","passed","Fri Mar 28 03:02:11 GMT 2025","","Links assertion on the home page","",""
"","211","validate, link contains Basic Auth Editor","","Fri Mar 28 03:02:04 GMT 2025","passed","Fri Mar 28 03:02:04 GMT 2025","","Links assertion on the home page","",""
"","182","validate, link contains Horizontal Slider Editor","","Fri Mar 28 03:02:08 GMT 2025","passed","Fri Mar 28 03:02:08 GMT 2025","","Links assertion on the home page","",""
"","173","validate, link contains Multiple Windows Editor","","Fri Mar 28 03:02:09 GMT 2025","passed","Fri Mar 28 03:02:10 GMT 2025","","Links assertion on the home page","",""
"","168","validate, link contains Key Presses Editor","","Fri Mar 28 03:02:09 GMT 2025","passed","Fri Mar 28 03:02:09 GMT 2025","","Links assertion on the home page","",""
"","167","validate, link contains WYSIWYG Editor Editor","","Fri Mar 28 03:02:11 GMT 2025","passed","Fri Mar 28 03:02:12 GMT 2025","","Links assertion on the home page","",""
"","183","validate, link contains Checkboxes Editor","","Fri Mar 28 03:02:04 GMT 2025","passed","Fri Mar 28 03:02:05 GMT 2025","","Links assertion on the home page","",""
"","165","validate, link contains Frames Editor","","Fri Mar 28 03:02:08 GMT 2025","passed","Fri Mar 28 03:02:08 GMT 2025","","Links assertion on the home page","",""
"","175","validate, link contains File Upload Editor","","Fri Mar 28 03:02:07 GMT 2025","passed","Fri Mar 28 03:02:07 GMT 2025","","Links assertion on the home page","",""
"","232","validate, link contains Add/Remove Elements Editor","","Fri Mar 28 03:02:04 GMT 2025","passed","Fri Mar 28 03:02:04 GMT 2025","","Links assertion on the home page","",""
"","158","validate, link contains JavaScript Alerts Editor","","Fri Mar 28 03:02:09 GMT 2025","passed","Fri Mar 28 03:02:09 GMT 2025","","Links assertion on the home page","",""
"","166","validate, link contains Notification Messages Editor","","Fri Mar 28 03:02:10 GMT 2025","passed","Fri Mar 28 03:02:10 GMT 2025","","Links assertion on the home page","",""
"","161","validate, link contains Secure File Download Editor","","Fri Mar 28 03:02:10 GMT 2025","passed","Fri Mar 28 03:02:10 GMT 2025","","Links assertion on the home page","",""
"","177","validate, link contains Drag and Drop Editor","","Fri Mar 28 03:02:05 GMT 2025","passed","Fri Mar 28 03:02:05 GMT 2025","","Links assertion on the home page","",""
"","161","validate, link contains Geolocation Editor","","Fri Mar 28 03:02:08 GMT 2025","passed","Fri Mar 28 03:02:08 GMT 2025","","Links assertion on the home page","",""
"","160","validate, link contains Redirect Link Editor","","Fri Mar 28 03:02:10 GMT 2025","passed","Fri Mar 28 03:02:10 GMT 2025","","Links assertion on the home page","",""
"","162","validate, link contains Large & Deep DOM Editor","","Fri Mar 28 03:02:09 GMT 2025","passed","Fri Mar 28 03:02:09 GMT 2025","","Links assertion on the home page","",""
