"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 15:09:19 GMT 2023","Thu May 25 15:09:19 GMT 2023","195","","Links assertion on the home page","","","","validate, link contains Basic Auth Editor",""
"passed","Thu May 25 15:09:23 GMT 2023","Thu May 25 15:09:23 GMT 2023","161","","Links assertion on the home page","","","","validate, link contains Geolocation Editor",""
"passed","Thu May 25 15:09:26 GMT 2023","Thu May 25 15:09:26 GMT 2023","204","","Links assertion on the home page","","","","validate, link contains Slow Resources Editor",""
"passed","Thu May 25 15:09:26 GMT 2023","Thu May 25 15:09:26 GMT 2023","209","","Links assertion on the home page","","","","validate, link contains Shadow DOM Editor",""
"passed","Thu May 25 15:09:24 GMT 2023","Thu May 25 15:09:24 GMT 2023","174","","Links assertion on the home page","","","","validate, link contains JQuery UI Menus Editor",""
"passed","Thu May 25 15:09:25 GMT 2023","Thu May 25 15:09:25 GMT 2023","167","","Links assertion on the home page","","","","validate, link contains Nested Frames Editor",""
"passed","Thu May 25 15:09:26 GMT 2023","Thu May 25 15:09:26 GMT 2023","196","","Links assertion on the home page","","","","validate, link contains Sortable Data Tables Editor",""
"passed","Thu May 25 15:09:27 GMT 2023","Thu May 25 15:09:27 GMT 2023","238","","Links assertion on the home page","","","","validate, link contains WYSIWYG Editor Editor",""
"passed","Thu May 25 15:09:19 GMT 2023","Thu May 25 15:09:19 GMT 2023","161","","Links assertion on the home page","","","","validate, link contains Broken Images Editor",""
"passed","Thu May 25 15:09:23 GMT 2023","Thu May 25 15:09:24 GMT 2023","170","","Links assertion on the home page","","","","validate, link contains Inputs Editor",""
"passed","Thu May 25 15:09:25 GMT 2023","Thu May 25 15:09:25 GMT 2023","201","","Links assertion on the home page","","","","validate, link contains Notification Messages Editor",""
"passed","Thu May 25 15:09:24 GMT 2023","Thu May 25 15:09:25 GMT 2023","159","","Links assertion on the home page","","","","validate, link contains Multiple Windows Editor",""
"passed","Thu May 25 15:09:24 GMT 2023","Thu May 25 15:09:24 GMT 2023","161","","Links assertion on the home page","","","","validate, link contains JavaScript Alerts Editor",""
"passed","Thu May 25 15:09:20 GMT 2023","Thu May 25 15:09:21 GMT 2023","165","","Links assertion on the home page","","","","validate, link contains Dropdown Editor",""
"passed","Thu May 25 15:09:22 GMT 2023","Thu May 25 15:09:22 GMT 2023","163","","Links assertion on the home page","","","","validate, link contains Floating Menu Editor",""
"passed","Thu May 25 15:09:16 GMT 2023","Thu May 25 15:09:16 GMT 2023","163","","API end point assertions","","","","fetch list of users",""
"passed","Thu May 25 15:09:20 GMT 2023","Thu May 25 15:09:20 GMT 2023","169","","Links assertion on the home page","","","","validate, link contains Drag and Drop Editor",""
"passed","Thu May 25 15:09:26 GMT 2023","Thu May 25 15:09:27 GMT 2023","243","","Links assertion on the home page","","","","validate, link contains Status Codes Editor",""
"passed","Thu May 25 15:09:22 GMT 2023","Thu May 25 15:09:22 GMT 2023","175","","Links assertion on the home page","","","","validate, link contains Forgot Password Editor",""
"passed","Thu May 25 15:09:25 GMT 2023","Thu May 25 15:09:25 GMT 2023","199","","Links assertion on the home page","","","","validate, link contains Redirect Link Editor",""
"passed","Thu May 25 15:09:24 GMT 2023","Thu May 25 15:09:24 GMT 2023","163","","Links assertion on the home page","","","","validate, link contains Key Presses Editor",""
"passed","Thu May 25 15:09:24 GMT 2023","Thu May 25 15:09:24 GMT 2023","153","","Links assertion on the home page","","","","validate, link contains JavaScript onload event error Editor",""
"passed","Thu May 25 15:09:20 GMT 2023","Thu May 25 15:09:20 GMT 2023","172","","Links assertion on the home page","","","","validate, link contains Context Menu Editor",""
"passed","Thu May 25 15:09:22 GMT 2023","Thu May 25 15:09:23 GMT 2023","177","","Links assertion on the home page","","","","validate, link contains Frames Editor",""
"passed","Thu May 25 15:09:21 GMT 2023","Thu May 25 15:09:21 GMT 2023","191","","Links assertion on the home page","","","","validate, link contains Entry Ad Editor",""
"passed","Thu May 25 15:09:21 GMT 2023","Thu May 25 15:09:21 GMT 2023","166","","Links assertion on the home page","","","","validate, link contains Dynamic Content Editor",""
"passed","Thu May 25 15:09:21 GMT 2023","Thu May 25 15:09:21 GMT 2023","169","","Links assertion on the home page","","","","validate, link contains Dynamic Controls Editor",""
"passed","Thu May 25 15:09:20 GMT 2023","Thu May 25 15:09:20 GMT 2023","175","","Links assertion on the home page","","","","validate, link contains Digest Authentication Editor",""
"passed","Thu May 25 15:09:18 GMT 2023","Thu May 25 15:09:19 GMT 2023","629","","Links assertion on the home page","","","","validate, link contains A/B Testing Editor",""
"passed","Thu May 25 15:09:24 GMT 2023","Thu May 25 15:09:24 GMT 2023","161","","Links assertion on the home page","","","","validate, link contains Large & Deep DOM Editor",""
"passed","Thu May 25 15:09:26 GMT 2023","Thu May 25 15:09:26 GMT 2023","188","","Links assertion on the home page","","","","validate, link contains Shifting Content Editor",""
"passed","Thu May 25 15:09:22 GMT 2023","Thu May 25 15:09:22 GMT 2023","166","","Links assertion on the home page","","","","validate, link contains File Upload Editor",""
"passed","Thu May 25 15:09:19 GMT 2023","Thu May 25 15:09:20 GMT 2023","181","","Links assertion on the home page","","","","validate, link contains Checkboxes Editor",""
"passed","Thu May 25 15:09:23 GMT 2023","Thu May 25 15:09:23 GMT 2023","258","","Links assertion on the home page","","","","validate, link contains Hovers Editor",""
"passed","Thu May 25 15:09:22 GMT 2023","Thu May 25 15:09:22 GMT 2023","167","","Links assertion on the home page","","","","validate, link contains File Download Editor",""
"passed","Thu May 25 15:09:20 GMT 2023","Thu May 25 15:09:20 GMT 2023","193","","Links assertion on the home page","","","","validate, link contains Disappearing Elements Editor",""
"passed","Thu May 25 15:09:19 GMT 2023","Thu May 25 15:09:19 GMT 2023","185","","Links assertion on the home page","","","","validate, link contains Add/Remove Elements Editor",""
"passed","Thu May 25 15:09:23 GMT 2023","Thu May 25 15:09:23 GMT 2023","168","","Links assertion on the home page","","","","validate, link contains Horizontal Slider Editor",""
"passed","Thu May 25 15:09:23 GMT 2023","Thu May 25 15:09:23 GMT 2023","161","","Links assertion on the home page","","","","validate, link contains Infinite Scroll Editor",""
"passed","Thu May 25 15:09:19 GMT 2023","Thu May 25 15:09:19 GMT 2023","174","","Links assertion on the home page","","","","validate, link contains Challenging DOM Editor",""
"passed","Thu May 25 15:09:27 GMT 2023","Thu May 25 15:09:27 GMT 2023","211","","Links assertion on the home page","","","","validate, link contains Typos Editor",""
"passed","Thu May 25 15:09:25 GMT 2023","Thu May 25 15:09:25 GMT 2023","225","","Links assertion on the home page","","","","validate, link contains Secure File Download Editor",""
"passed","Thu May 25 15:09:21 GMT 2023","Thu May 25 15:09:22 GMT 2023","193","","Links assertion on the home page","","","","validate, link contains Exit Intent Editor",""
"passed","Thu May 25 15:09:22 GMT 2023","Thu May 25 15:09:22 GMT 2023","175","","Links assertion on the home page","","","","validate, link contains Form Authentication Editor",""
"passed","Thu May 25 15:09:21 GMT 2023","Thu May 25 15:09:21 GMT 2023","176","","Links assertion on the home page","","","","validate, link contains Dynamic Loading Editor",""
