"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138","validate, link contains Nested Frames Editor","","Sun Dec 07 03:39:26 UTC 2025","passed","Sun Dec 07 03:39:26 UTC 2025","","Links assertion on the home page","",""
"","139","validate, link contains Shadow DOM Editor","","Sun Dec 07 03:39:27 UTC 2025","passed","Sun Dec 07 03:39:27 UTC 2025","","Links assertion on the home page","",""
"","146","validate, link contains Sortable Data Tables Editor","","Sun Dec 07 03:39:27 UTC 2025","passed","Sun Dec 07 03:39:27 UTC 2025","","Links assertion on the home page","",""
"","140","validate, link contains Redirect Link Editor","","Sun Dec 07 03:39:26 UTC 2025","passed","Sun Dec 07 03:39:26 UTC 2025","","Links assertion on the home page","",""
"","151","validate, link contains Drag and Drop Editor","","Sun Dec 07 03:39:22 UTC 2025","passed","Sun Dec 07 03:39:22 UTC 2025","","Links assertion on the home page","",""
"","140","validate, link contains JavaScript Alerts Editor","","Sun Dec 07 03:39:25 UTC 2025","passed","Sun Dec 07 03:39:25 UTC 2025","","Links assertion on the home page","",""
"","802","validate, link contains A/B Testing Editor","","Sun Dec 07 03:39:20 UTC 2025","passed","Sun Dec 07 03:39:21 UTC 2025","","Links assertion on the home page","",""
"","144","validate, link contains Hovers Editor","","Sun Dec 07 03:39:25 UTC 2025","passed","Sun Dec 07 03:39:25 UTC 2025","","Links assertion on the home page","",""
"","146","validate, link contains Exit Intent Editor","","Sun Dec 07 03:39:23 UTC 2025","passed","Sun Dec 07 03:39:23 UTC 2025","","Links assertion on the home page","",""
"","151","validate, link contains Entry Ad Editor","","Sun Dec 07 03:39:23 UTC 2025","passed","Sun Dec 07 03:39:23 UTC 2025","","Links assertion on the home page","",""
"","60339","fetch list of users","","Sun Dec 07 03:38:18 UTC 2025","failed","Sun Dec 07 03:39:18 UTC 2025","","API end point assertions","",""
"","198","validate, link contains Dynamic Content Editor","","Sun Dec 07 03:39:22 UTC 2025","passed","Sun Dec 07 03:39:23 UTC 2025","","Links assertion on the home page","",""
"","162","validate, link contains JQuery UI Menus Editor","","Sun Dec 07 03:39:25 UTC 2025","passed","Sun Dec 07 03:39:25 UTC 2025","","Links assertion on the home page","",""
"","146","validate, link contains Shifting Content Editor","","Sun Dec 07 03:39:27 UTC 2025","passed","Sun Dec 07 03:39:27 UTC 2025","","Links assertion on the home page","",""
"","146","validate, link contains Secure File Download Editor","","Sun Dec 07 03:39:26 UTC 2025","passed","Sun Dec 07 03:39:27 UTC 2025","","Links assertion on the home page","",""
"","150","validate, link contains Disappearing Elements Editor","","Sun Dec 07 03:39:22 UTC 2025","passed","Sun Dec 07 03:39:22 UTC 2025","","Links assertion on the home page","",""
"","145","validate, link contains Forgot Password Editor","","Sun Dec 07 03:39:24 UTC 2025","passed","Sun Dec 07 03:39:24 UTC 2025","","Links assertion on the home page","",""
"","184","validate, link contains JavaScript onload event error Editor","","Sun Dec 07 03:39:25 UTC 2025","passed","Sun Dec 07 03:39:25 UTC 2025","","Links assertion on the home page","",""
"","136","validate, link contains Multiple Windows Editor","","Sun Dec 07 03:39:26 UTC 2025","passed","Sun Dec 07 03:39:26 UTC 2025","","Links assertion on the home page","",""
"","150","validate, link contains Challenging DOM Editor","","Sun Dec 07 03:39:21 UTC 2025","passed","Sun Dec 07 03:39:21 UTC 2025","","Links assertion on the home page","",""
"","140","validate, link contains Large & Deep DOM Editor","","Sun Dec 07 03:39:26 UTC 2025","passed","Sun Dec 07 03:39:26 UTC 2025","","Links assertion on the home page","",""
"","146","validate, link contains Frames Editor","","Sun Dec 07 03:39:24 UTC 2025","passed","Sun Dec 07 03:39:24 UTC 2025","","Links assertion on the home page","",""
"","146","validate, link contains Context Menu Editor","","Sun Dec 07 03:39:22 UTC 2025","passed","Sun Dec 07 03:39:22 UTC 2025","","Links assertion on the home page","",""
"","166","validate, link contains Basic Auth Editor","","Sun Dec 07 03:39:21 UTC 2025","passed","Sun Dec 07 03:39:21 UTC 2025","","Links assertion on the home page","",""
"","141","validate, link contains Floating Menu Editor","","Sun Dec 07 03:39:24 UTC 2025","passed","Sun Dec 07 03:39:24 UTC 2025","","Links assertion on the home page","",""
"","138","validate, link contains WYSIWYG Editor Editor","","Sun Dec 07 03:39:27 UTC 2025","passed","Sun Dec 07 03:39:28 UTC 2025","","Links assertion on the home page","",""
"","155","validate, link contains Checkboxes Editor","","Sun Dec 07 03:39:21 UTC 2025","passed","Sun Dec 07 03:39:22 UTC 2025","","Links assertion on the home page","",""
"","139","validate, link contains Slow Resources Editor","","Sun Dec 07 03:39:27 UTC 2025","passed","Sun Dec 07 03:39:27 UTC 2025","","Links assertion on the home page","",""
"","155","validate, link contains File Upload Editor","","Sun Dec 07 03:39:23 UTC 2025","passed","Sun Dec 07 03:39:24 UTC 2025","","Links assertion on the home page","",""
"","179","validate, link contains Add/Remove Elements Editor","","Sun Dec 07 03:39:21 UTC 2025","passed","Sun Dec 07 03:39:21 UTC 2025","","Links assertion on the home page","",""
"","153","validate, link contains Dynamic Controls Editor","","Sun Dec 07 03:39:23 UTC 2025","passed","Sun Dec 07 03:39:23 UTC 2025","","Links assertion on the home page","",""
"","148","validate, link contains Dynamic Loading Editor","","Sun Dec 07 03:39:23 UTC 2025","passed","Sun Dec 07 03:39:23 UTC 2025","","Links assertion on the home page","",""
"","143","validate, link contains Infinite Scroll Editor","","Sun Dec 07 03:39:25 UTC 2025","passed","Sun Dec 07 03:39:25 UTC 2025","","Links assertion on the home page","",""
"","140","validate, link contains Inputs Editor","","Sun Dec 07 03:39:25 UTC 2025","passed","Sun Dec 07 03:39:25 UTC 2025","","Links assertion on the home page","",""
"","147","validate, link contains Form Authentication Editor","","Sun Dec 07 03:39:24 UTC 2025","passed","Sun Dec 07 03:39:24 UTC 2025","","Links assertion on the home page","",""
"","131","validate, link contains Typos Editor","","Sun Dec 07 03:39:27 UTC 2025","passed","Sun Dec 07 03:39:27 UTC 2025","","Links assertion on the home page","",""
"","142","validate, link contains File Download Editor","","Sun Dec 07 03:39:23 UTC 2025","passed","Sun Dec 07 03:39:23 UTC 2025","","Links assertion on the home page","",""
"","149","validate, link contains Dropdown Editor","","Sun Dec 07 03:39:22 UTC 2025","passed","Sun Dec 07 03:39:22 UTC 2025","","Links assertion on the home page","",""
"","155","validate, link contains Digest Authentication Editor","","Sun Dec 07 03:39:22 UTC 2025","passed","Sun Dec 07 03:39:22 UTC 2025","","Links assertion on the home page","",""
"","147","validate, link contains Horizontal Slider Editor","","Sun Dec 07 03:39:24 UTC 2025","passed","Sun Dec 07 03:39:24 UTC 2025","","Links assertion on the home page","",""
"","137","validate, link contains Status Codes Editor","","Sun Dec 07 03:39:27 UTC 2025","passed","Sun Dec 07 03:39:27 UTC 2025","","Links assertion on the home page","",""
"","143","validate, link contains Notification Messages Editor","","Sun Dec 07 03:39:26 UTC 2025","passed","Sun Dec 07 03:39:26 UTC 2025","","Links assertion on the home page","",""
"","146","validate, link contains Broken Images Editor","","Sun Dec 07 03:39:21 UTC 2025","passed","Sun Dec 07 03:39:21 UTC 2025","","Links assertion on the home page","",""
"","192","validate, link contains Key Presses Editor","","Sun Dec 07 03:39:25 UTC 2025","passed","Sun Dec 07 03:39:26 UTC 2025","","Links assertion on the home page","",""
"","141","validate, link contains Geolocation Editor","","Sun Dec 07 03:39:24 UTC 2025","passed","Sun Dec 07 03:39:24 UTC 2025","","Links assertion on the home page","",""
