"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","validate, link contains Shifting Content Editor","","Fri May 15 05:58:24 UTC 2026","passed","Fri May 15 05:58:24 UTC 2026","","Links assertion on the home page","",""
"","125","validate, link contains Sortable Data Tables Editor","","Fri May 15 05:58:24 UTC 2026","passed","Fri May 15 05:58:24 UTC 2026","","Links assertion on the home page","",""
"","143","validate, link contains Notification Messages Editor","","Fri May 15 05:58:23 UTC 2026","passed","Fri May 15 05:58:23 UTC 2026","","Links assertion on the home page","",""
"","120","validate, link contains Frames Editor","","Fri May 15 05:58:22 UTC 2026","passed","Fri May 15 05:58:22 UTC 2026","","Links assertion on the home page","",""
"","124","validate, link contains Secure File Download Editor","","Fri May 15 05:58:24 UTC 2026","passed","Fri May 15 05:58:24 UTC 2026","","Links assertion on the home page","",""
"","122","validate, link contains Context Menu Editor","","Fri May 15 05:58:20 UTC 2026","passed","Fri May 15 05:58:20 UTC 2026","","Links assertion on the home page","",""
"","111","validate, link contains Hovers Editor","","Fri May 15 05:58:22 UTC 2026","passed","Fri May 15 05:58:22 UTC 2026","","Links assertion on the home page","",""
"","128","validate, link contains Exit Intent Editor","","Fri May 15 05:58:21 UTC 2026","passed","Fri May 15 05:58:21 UTC 2026","","Links assertion on the home page","",""
"","120","validate, link contains Disappearing Elements Editor","","Fri May 15 05:58:20 UTC 2026","passed","Fri May 15 05:58:20 UTC 2026","","Links assertion on the home page","",""
"","118","validate, link contains File Upload Editor","","Fri May 15 05:58:21 UTC 2026","passed","Fri May 15 05:58:21 UTC 2026","","Links assertion on the home page","",""
"","120","validate, link contains Dynamic Controls Editor","","Fri May 15 05:58:21 UTC 2026","passed","Fri May 15 05:58:21 UTC 2026","","Links assertion on the home page","",""
"","126","validate, link contains Horizontal Slider Editor","","Fri May 15 05:58:22 UTC 2026","passed","Fri May 15 05:58:22 UTC 2026","","Links assertion on the home page","",""
"","113","validate, link contains Form Authentication Editor","","Fri May 15 05:58:22 UTC 2026","passed","Fri May 15 05:58:22 UTC 2026","","Links assertion on the home page","",""
"","113","validate, link contains Key Presses Editor","","Fri May 15 05:58:23 UTC 2026","passed","Fri May 15 05:58:23 UTC 2026","","Links assertion on the home page","",""
"","178","validate, link contains Shadow DOM Editor","","Fri May 15 05:58:24 UTC 2026","passed","Fri May 15 05:58:24 UTC 2026","","Links assertion on the home page","",""
"","126","validate, link contains Checkboxes Editor","","Fri May 15 05:58:20 UTC 2026","passed","Fri May 15 05:58:20 UTC 2026","","Links assertion on the home page","",""
"","119","validate, link contains Dynamic Loading Editor","","Fri May 15 05:58:21 UTC 2026","passed","Fri May 15 05:58:21 UTC 2026","","Links assertion on the home page","",""
"","114","validate, link contains Multiple Windows Editor","","Fri May 15 05:58:23 UTC 2026","passed","Fri May 15 05:58:23 UTC 2026","","Links assertion on the home page","",""
"","121","validate, link contains Typos Editor","","Fri May 15 05:58:24 UTC 2026","passed","Fri May 15 05:58:25 UTC 2026","","Links assertion on the home page","",""
"","118","validate, link contains Dropdown Editor","","Fri May 15 05:58:20 UTC 2026","passed","Fri May 15 05:58:20 UTC 2026","","Links assertion on the home page","",""
"","119","validate, link contains Drag and Drop Editor","","Fri May 15 05:58:20 UTC 2026","passed","Fri May 15 05:58:20 UTC 2026","","Links assertion on the home page","",""
"","122","validate, link contains WYSIWYG Editor Editor","","Fri May 15 05:58:25 UTC 2026","passed","Fri May 15 05:58:25 UTC 2026","","Links assertion on the home page","",""
"","116","validate, link contains Floating Menu Editor","","Fri May 15 05:58:21 UTC 2026","passed","Fri May 15 05:58:21 UTC 2026","","Links assertion on the home page","",""
"","122","validate, link contains Redirect Link Editor","","Fri May 15 05:58:23 UTC 2026","passed","Fri May 15 05:58:24 UTC 2026","","Links assertion on the home page","",""
"","111","validate, link contains Nested Frames Editor","","Fri May 15 05:58:23 UTC 2026","passed","Fri May 15 05:58:23 UTC 2026","","Links assertion on the home page","",""
"","150","validate, link contains Add/Remove Elements Editor","","Fri May 15 05:58:19 UTC 2026","passed","Fri May 15 05:58:19 UTC 2026","","Links assertion on the home page","",""
"","125","validate, link contains Status Codes Editor","","Fri May 15 05:58:24 UTC 2026","passed","Fri May 15 05:58:24 UTC 2026","","Links assertion on the home page","",""
"","169","validate, link contains Dynamic Content Editor","","Fri May 15 05:58:20 UTC 2026","passed","Fri May 15 05:58:21 UTC 2026","","Links assertion on the home page","",""
"","120","validate, link contains Entry Ad Editor","","Fri May 15 05:58:21 UTC 2026","passed","Fri May 15 05:58:21 UTC 2026","","Links assertion on the home page","",""
"","124","validate, link contains Slow Resources Editor","","Fri May 15 05:58:24 UTC 2026","passed","Fri May 15 05:58:24 UTC 2026","","Links assertion on the home page","",""
"","114","validate, link contains JavaScript Alerts Editor","","Fri May 15 05:58:23 UTC 2026","passed","Fri May 15 05:58:23 UTC 2026","","Links assertion on the home page","",""
"","115","validate, link contains Infinite Scroll Editor","","Fri May 15 05:58:22 UTC 2026","passed","Fri May 15 05:58:22 UTC 2026","","Links assertion on the home page","",""
"","158","validate, link contains Basic Auth Editor","","Fri May 15 05:58:19 UTC 2026","passed","Fri May 15 05:58:19 UTC 2026","","Links assertion on the home page","",""
"","129","validate, link contains Challenging DOM Editor","","Fri May 15 05:58:19 UTC 2026","passed","Fri May 15 05:58:20 UTC 2026","","Links assertion on the home page","",""
"","110","validate, link contains Inputs Editor","","Fri May 15 05:58:22 UTC 2026","passed","Fri May 15 05:58:22 UTC 2026","","Links assertion on the home page","",""
"","115","validate, link contains JavaScript onload event error Editor","","Fri May 15 05:58:23 UTC 2026","passed","Fri May 15 05:58:23 UTC 2026","","Links assertion on the home page","",""
"","115","validate, link contains File Download Editor","","Fri May 15 05:58:21 UTC 2026","passed","Fri May 15 05:58:21 UTC 2026","","Links assertion on the home page","",""
"","130","validate, link contains Digest Authentication Editor","","Fri May 15 05:58:20 UTC 2026","passed","Fri May 15 05:58:20 UTC 2026","","Links assertion on the home page","",""
"","116","validate, link contains Forgot Password Editor","","Fri May 15 05:58:21 UTC 2026","passed","Fri May 15 05:58:22 UTC 2026","","Links assertion on the home page","",""
"","539","validate, link contains A/B Testing Editor","","Fri May 15 05:58:18 UTC 2026","passed","Fri May 15 05:58:19 UTC 2026","","Links assertion on the home page","",""
"","110","validate, link contains Geolocation Editor","","Fri May 15 05:58:22 UTC 2026","passed","Fri May 15 05:58:22 UTC 2026","","Links assertion on the home page","",""
"","60538","fetch list of users","","Fri May 15 05:57:16 UTC 2026","failed","Fri May 15 05:58:17 UTC 2026","","API end point assertions","",""
"","136","validate, link contains Broken Images Editor","","Fri May 15 05:58:19 UTC 2026","passed","Fri May 15 05:58:19 UTC 2026","","Links assertion on the home page","",""
"","125","validate, link contains Large & Deep DOM Editor","","Fri May 15 05:58:23 UTC 2026","passed","Fri May 15 05:58:23 UTC 2026","","Links assertion on the home page","",""
