"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 13 02:28:33 GMT 2024","Sat Jan 13 02:28:34 GMT 2024","162","","Links assertion on the home page","","","","validate, link contains Shifting Content Editor",""
"passed","Sat Jan 13 02:28:34 GMT 2024","Sat Jan 13 02:28:34 GMT 2024","163","","Links assertion on the home page","","","","validate, link contains Typos Editor",""
"passed","Sat Jan 13 02:28:25 GMT 2024","Sat Jan 13 02:28:26 GMT 2024","1009","","Links assertion on the home page","","","","validate, link contains A/B Testing Editor",""
"passed","Sat Jan 13 02:28:27 GMT 2024","Sat Jan 13 02:28:27 GMT 2024","180","","Links assertion on the home page","","","","validate, link contains Context Menu Editor",""
"passed","Sat Jan 13 02:28:34 GMT 2024","Sat Jan 13 02:28:34 GMT 2024","159","","Links assertion on the home page","","","","validate, link contains Sortable Data Tables Editor",""
"passed","Sat Jan 13 02:28:31 GMT 2024","Sat Jan 13 02:28:31 GMT 2024","161","","Links assertion on the home page","","","","validate, link contains Infinite Scroll Editor",""
"passed","Sat Jan 13 02:28:26 GMT 2024","Sat Jan 13 02:28:27 GMT 2024","179","","Links assertion on the home page","","","","validate, link contains Broken Images Editor",""
"passed","Sat Jan 13 02:28:28 GMT 2024","Sat Jan 13 02:28:28 GMT 2024","171","","Links assertion on the home page","","","","validate, link contains Dynamic Loading Editor",""
"passed","Sat Jan 13 02:28:30 GMT 2024","Sat Jan 13 02:28:30 GMT 2024","171","","Links assertion on the home page","","","","validate, link contains Hovers Editor",""
"passed","Sat Jan 13 02:28:28 GMT 2024","Sat Jan 13 02:28:28 GMT 2024","184","","Links assertion on the home page","","","","validate, link contains Dropdown Editor",""
"passed","Sat Jan 13 02:28:29 GMT 2024","Sat Jan 13 02:28:30 GMT 2024","179","","Links assertion on the home page","","","","validate, link contains Forgot Password Editor",""
